Morphology_R,Morphology_H,Production_H,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,Type,n,IPA_Morphology_R,IPA_UR,IPA_SR
palk-xmyvnsv,밝으면서,,,lk-x,lkx,0,0,,,0,lC+Vowel,2,palk-ɨmjʌnsʌ,lk-ɨ,lkɨ
palk-xniga,밝으니까,,,lk-x,lkx,0,0,,,0,lC+Vowel,1,palk-ɨnik*a,lk-ɨ,lkɨ
palk-xmi,밝음이,,,lk-x,lkx,0,0,,,0,lC+Vowel,2,palk-ɨmi,lk-ɨ,lkɨ
palk-xmilako,밝음이라고,,,lk-x,lkx,0,0,,,0,lC+Vowel,1,palk-ɨmilako,lk-ɨ,lkɨ
palk-xmxl,밝음을,,,lk-x,lkx,0,0,,,0,lC+Vowel,1,palk-ɨmɨl,lk-ɨ,lkɨ
palk-xn,밝은,,,lk-x,lkx,0,0,,,0,lC+Vowel,49,palk-ɨn,lk-ɨ,lkɨ
palk-xnte,밝은데,,,lk-x,lkx,0,0,,,0,lC+Vowel,2,palk-ɨnte,lk-ɨ,lkɨ
palp-a,밟아,,,lp-a,lpa,0,0,,,0,lC+Vowel,4,palp-a,lp-a,lpa
palp-akaciko,밟아가지고,,,lp-a,lpa,0,0,,,0,lC+Vowel,4,palp-akaciko,lp-a,lpa
palp-akamyvnsv,밟아가면서,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,palp-akamjʌnsʌ,lp-a,lpa
palp-anakaya,밟아나가야,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,palp-anakaja,lp-a,lpa
palp-apoko,밟아보고,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,palp-apoko,lp-a,lpa
palp-asv,밟아서,,,lp-a,lpa,0,0,,,0,lC+Vowel,4,palp-asʌ,lp-a,lpa
palp-ato,밟아도,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,palp-ato,lp-a,lpa
palp-aya,밟아야,,,lp-a,lpa,0,0,,,0,lC+Vowel,2,palp-aja,lp-a,lpa
palp-aSnxnte,밟았는데,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,palp-as*nɨnte,lp-a,lpa
palp-aStako,밟았다고,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,palp-as*tako,lp-a,lpa
palp-aStvn,밟았던,,,lp-a,lpa,0,0,,,0,lC+Vowel,2,palp-as*tʌn,lp-a,lpa
palp-aSxl,밟았을,,,lp-a,lpa,0,0,,,0,lC+Vowel,2,palp-as*ɨl,lp-a,lpa
palp-xlyvko,밟으려고,,,lp-x,lpx,0,0,,,0,lC+Vowel,2,palp-ɨljʌko,lp-ɨ,lpɨ
palp-xmyvn,밟으면,,,lp-x,lpx,0,0,,,0,lC+Vowel,4,palp-ɨmjʌn,lp-ɨ,lpɨ
palp-xmyvnsv,밟으면서,,,lp-x,lpx,0,0,,,0,lC+Vowel,5,palp-ɨmjʌnsʌ,lp-ɨ,lpɨ
palp-xmyvnxn,밟으면은,,,lp-x,lpx,0,0,,,0,lC+Vowel,1,palp-ɨmjʌnɨn,lp-ɨ,lpɨ
palp-xsyvkaciko,밟으셔가지고,,,lp-x,lpx,0,0,,,0,lC+Vowel,1,palp-ɨsjʌkaciko,lp-ɨ,lpɨ
palp-xl,밟을,,,lp-x,lpx,0,0,,,0,lC+Vowel,6,palp-ɨl,lp-ɨ,lpɨ
palp-xn,밟은,,,lp-x,lpx,0,0,,,0,lC+Vowel,8,palp-ɨn,lp-ɨ,lpɨ
pulk-xn,붉은,,,lk-x,lkx,0,0,,,0,lC+Vowel,13,pulk-ɨn,lk-ɨ,lkɨ
pulk-xnsek,붉은색,,,lk-x,lkx,0,0,,,0,lC+Vowel,1,pulk-ɨnsek,lk-ɨ,lkɨ
pulk-xnsekkwa,붉은색과,,,lk-x,lkx,0,0,,,0,lC+Vowel,1,pulk-ɨnsekkwa,lk-ɨ,lkɨ
salm-a,삶아,,,lm-a,lma,0,0,,,0,lC+Vowel,5,salm-a,lm-a,lma
salm-acimyvn,삶아지면,,,lm-a,lma,0,0,,,0,lC+Vowel,1,salm-acimjʌn,lm-a,lma
salm-acukvna,삶아주거나,,,lm-a,lma,0,0,,,0,lC+Vowel,1,salm-acukʌna,lm-a,lma
salm-akaciko,삶아가지고,,,lm-a,lma,0,0,,,0,lC+Vowel,8,salm-akaciko,lm-a,lma
salm-akatxnka,삶아가든가,,,lm-a,lma,0,0,,,0,lC+Vowel,1,salm-akatɨnka,lm-a,lma
salm-akacko,삶아갖고,,,lm-a,lma,0,0,,,0,lC+Vowel,2,salm-akacko,lm-a,lma
salm-amvkko,삶아먹고,,,lm-a,lma,0,0,,,0,lC+Vowel,2,salm-amʌkko,lm-a,lma
salm-anohxn,삶아놓은,,,lm-a,lma,0,0,,,0,lC+Vowel,1,salm-anohɨn,lm-a,lma
salm-anwaSv,삶아놨어,,,lm-a,lma,0,0,,,0,lC+Vowel,1,salm-anwas*ʌ,lm-a,lma
salm-asv,삶아서,,,lm-a,lma,0,0,,,0,lC+Vowel,27,salm-asʌ,lm-a,lma
salm-asvto,삶아서도,,,lm-a,lma,0,0,,,0,lC+Vowel,1,salm-asʌto,lm-a,lma
salm-ato,삶아도,,,lm-a,lma,0,0,,,0,lC+Vowel,2,salm-ato,lm-a,lma
salm-aya,삶아야,,,lm-a,lma,0,0,,,0,lC+Vowel,1,salm-aja,lm-a,lma
salm-v,삶어,,,lm-v,lmv,0,0,,,0,lC+Vowel,3,salm-ʌ,lm-ʌ,lmʌ
salm-x,삶으,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,salm-ɨ,lm-ɨ,lmɨ
salm-xla,삶으라,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,salm-ɨla,lm-ɨ,lmɨ
salm-xlako,삶으라고,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,salm-ɨlako,lm-ɨ,lmɨ
salm-xloSv,삶으로써,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,salm-ɨlos*ʌ,lm-ɨ,lmɨ
salm-xmyvn,삶으면,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,salm-ɨmjʌn,lm-ɨ,lmɨ
salm-xmyvnxn,삶으면은,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,salm-ɨmjʌnɨn,lm-ɨ,lmɨ
salm-xsyvkacko,삶으셔갖고,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,salm-ɨsjʌkacko,lm-ɨ,lmɨ
salm-xsyvStamyvnxn,삶으셨다면은,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,salm-ɨsjʌs*tamjʌnɨn,lm-ɨ,lmɨ
salm-xn,삶은,,,lm-x,lmx,0,0,,,0,lC+Vowel,18,salm-ɨn,lm-ɨ,lmɨ
talm-a,닮아,,,lm-a,lma,0,0,,,0,lC+Vowel,6,talm-a,lm-a,lma
talm-acyvStanxn,닮아졌다는,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-acjʌs*tanɨn,lm-a,lma
talm-aiSko,닮아있고,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-ais*ko,lm-a,lma
talm-aiStako,닮아있다고,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-ais*tako,lm-a,lma
talm-akaci,닮아가지,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-akaci,lm-a,lma
talm-akaciko,닮아가지고,,,lm-a,lma,0,0,,,0,lC+Vowel,10,talm-akaciko,lm-a,lma
talm-akacimanxn,닮아가지마는,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-akacimanɨn,lm-a,lma
talm-akakin,닮아가긴,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-akakin,lm-a,lma
talm-akako,닮아가고,,,lm-a,lma,0,0,,,0,lC+Vowel,2,talm-akako,lm-a,lma
talm-akalyvko,닮아가려고,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-akaljʌko,lm-a,lma
talm-akanxn,닮아가는,,,lm-a,lma,0,0,,,0,lC+Vowel,2,talm-akanɨn,lm-a,lma
talm-akasv,닮아가서,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-akasʌ,lm-a,lma
talm-akatvlakoyo,닮아가더라고요,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-akatʌlakojo,lm-a,lma
talm-akal,닮아갈,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-akal,lm-a,lma
talm-akan,닮아간,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-akan,lm-a,lma
talm-akantako,닮아간다고,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-akantako,lm-a,lma
talm-akantalanxn,닮아간다라는,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-akantalanɨn,lm-a,lma
talm-akantanxn,닮아간다는,,,lm-a,lma,0,0,,,0,lC+Vowel,2,talm-akantanɨn,lm-a,lma
talm-asv,닮아서,,,lm-a,lma,0,0,,,0,lC+Vowel,29,talm-asʌ,lm-a,lma
talm-aS,닮았,,,lm-a,lma,0,0,,,0,lC+Vowel,2,talm-as*,lm-a,lma
talm-aScimanxn,닮았지마는,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-as*cimanɨn,lm-a,lma
talm-aSkeScyo,닮았겠죠,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-as*kes*cjo,lm-a,lma
talm-aSko,닮았고,,,lm-a,lma,0,0,,,0,lC+Vowel,11,talm-as*ko,lm-a,lma
talm-aSkuna,닮았구나,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-as*kuna,lm-a,lma
talm-aSkvtxnyo,닮았거든요,,,lm-a,lma,0,0,,,0,lC+Vowel,4,talm-as*kʌtɨnjo,lm-a,lma
talm-aSna,닮았나,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-as*na,lm-a,lma
talm-aSnayo,닮았나요,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-as*najo,lm-a,lma
talm-aSne,닮았네,,,lm-a,lma,0,0,,,0,lC+Vowel,4,talm-as*ne,lm-a,lma
talm-aSnelan,닮았네란,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-as*nelan,lm-a,lma
talm-aSnxnci,닮았는지,,,lm-a,lma,0,0,,,0,lC+Vowel,3,talm-as*nɨnci,lm-a,lma
talm-aSnxncinxn,닮았는지는,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-as*nɨncinɨn,lm-a,lma
talm-aSnxnte,닮았는데,,,lm-a,lma,0,0,,,0,lC+Vowel,3,talm-as*nɨnte,lm-a,lma
talm-aSnxnteyo,닮았는데요,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-as*nɨntejo,lm-a,lma
talm-aSnya,닮았냐,,,lm-a,lma,0,0,,,0,lC+Vowel,2,talm-as*nja,lm-a,lma
talm-aSsxpniga,닮았습니까,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-as*sɨpnik*a,lm-a,lma
talm-aSsxpnita,닮았습니다,,,lm-a,lma,0,0,,,0,lC+Vowel,2,talm-as*sɨpnita,lm-a,lma
talm-aSta,닮았다,,,lm-a,lma,0,0,,,0,lC+Vowel,5,talm-as*ta,lm-a,lma
talm-aStaka,닮았다가,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-as*taka,lm-a,lma
talm-aStako,닮았다고,,,lm-a,lma,0,0,,,0,lC+Vowel,15,talm-as*tako,lm-a,lma
talm-aStakoto,닮았다고도,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-as*takoto,lm-a,lma
talm-aStalako,닮았다라고,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-as*talako,lm-a,lma
talm-aStalanxn,닮았다라는,,,lm-a,lma,0,0,,,0,lC+Vowel,2,talm-as*talanɨn,lm-a,lma
talm-aStanxn,닮았다는,,,lm-a,lma,0,0,,,0,lC+Vowel,10,talm-as*tanɨn,lm-a,lma
talm-aStan,닮았단,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-as*tan,lm-a,lma
talm-aSteyo,닮았대요,,,lm-a,lma,0,0,,,0,lC+Vowel,3,talm-as*tejo,lm-a,lma
talm-aStvla,닮았더라,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-as*tʌla,lm-a,lma
talm-aSv,닮았어,,,lm-a,lma,0,0,,,0,lC+Vowel,4,talm-as*ʌ,lm-a,lma
talm-aSvyo,닮았어요,,,lm-a,lma,0,0,,,0,lC+Vowel,9,talm-as*ʌjo,lm-a,lma
talm-aSxmyvn,닮았으면,,,lm-a,lma,0,0,,,0,lC+Vowel,6,talm-as*ɨmjʌn,lm-a,lma
talm-aSxniga,닮았으니까,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-as*ɨnik*a,lm-a,lma
talm-aSxlga,닮았을까,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-as*ɨlk*a,lm-a,lma
talm-aSxm,닮았음,,,lm-a,lma,0,0,,,0,lC+Vowel,1,talm-as*ɨm,lm-a,lma
talm-v,닮어,,,lm-v,lmv,0,0,,,0,lC+Vowel,1,talm-ʌ,lm-ʌ,lmʌ
talm-xkin,닮으긴,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,talm-ɨkin,lm-ɨ,lmɨ
talm-xla,닮으라,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,talm-ɨla,lm-ɨ,lmɨ
talm-xlyvko,닮으려고,,,lm-x,lmx,0,0,,,0,lC+Vowel,2,talm-ɨljʌko,lm-ɨ,lmɨ
talm-xniga,닮으니까,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,talm-ɨnik*a,lm-ɨ,lmɨ
talm-xsin,닮으신,,,lm-x,lmx,0,0,,,0,lC+Vowel,2,talm-ɨsin,lm-ɨ,lmɨ
talm-xsyvsv,닮으셔서,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,talm-ɨsjʌsʌ,lm-ɨ,lmɨ
talm-xsyvSnayo,닮으셨나요,,,lm-x,lmx,0,0,,,0,lC+Vowel,2,talm-ɨsjʌs*najo,lm-ɨ,lmɨ
talm-xsyvSta,닮으셨다,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,talm-ɨsjʌs*ta,lm-ɨ,lmɨ
talm-xsyvSvyo,닮으셨어요,,,lm-x,lmx,0,0,,,0,lC+Vowel,2,talm-ɨsjʌs*ʌjo,lm-ɨ,lmɨ
talm-xlga,닮을까,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,talm-ɨlk*a,lm-ɨ,lmɨ
talm-xm,닮음,,,lm-x,lmx,0,0,,,0,lC+Vowel,1,talm-ɨm,lm-ɨ,lmɨ
talm-xn,닮은,,,lm-x,lmx,0,0,,,0,lC+Vowel,70,talm-ɨn,lm-ɨ,lmɨ
txnvlp-xn,드넓은,,,lp-x,lpx,0,0,,,0,lC+Vowel,4,tɨnʌlp-ɨn,lp-ɨ,lpɨ
xlP-vnohko,읊어놓고,,,lP-v,lPv,0,0,,,0,lC+Vowel,1,ɨlpʰ-ʌnohko,lpʰ-ʌ,lpʰʌ
xlP-vpolako,읊어보라고,,,lP-v,lPv,0,0,,,0,lC+Vowel,1,ɨlpʰ-ʌpolako,lpʰ-ʌ,lpʰʌ
xlP-xmyvnsv,읊으면서,,,lP-x,lPx,0,0,,,0,lC+Vowel,1,ɨlpʰ-ɨmjʌnsʌ,lpʰ-ɨ,lpʰɨ
yalp-a,얇아,,,lp-a,lpa,0,0,,,0,lC+Vowel,2,jalp-a,lp-a,lpa
yalp-aciciman,얇아지지만,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,jalp-aciciman,lp-a,lpa
yalp-acinigan,얇아지니깐,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,jalp-acinik*an,lp-a,lpa
yalp-asv,얇아서,,,lp-a,lpa,0,0,,,0,lC+Vowel,2,jalp-asʌ,lp-a,lpa
yalp-ayo,얇아요,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,jalp-ajo,lp-a,lpa
yalp-aSko,얇았고,,,lp-a,lpa,0,0,,,0,lC+Vowel,1,jalp-as*ko,lp-a,lpa
yalp-xn,얇은,,,lp-x,lpx,0,0,,,0,lC+Vowel,31,jalp-ɨn,lp-ɨ,lpɨ
yalp-xnka,얇은가,,,lp-x,lpx,0,0,,,0,lC+Vowel,1,jalp-ɨnka,lp-ɨ,lpɨ
