Unnamed: 0,Morphology_R,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,lexome1,lexome2,form,participant,frequency,origin,predicted,pred_correct,simplify_delete_obstruent.1,simplify_delete_lateral.1,nasalize.1,lateralize.1,tensify.1,neural_prediction,neural_correct_wrong
1225,cilk-na,ciNna,lk-n,ciNna,0.0,1.0,1.0,0.0,,cilk,na,ciNna,578085,nonce,train,ciNna,yes,1.0,1.0,1.0,0.0,,cvkna,no
1226,cilk-ta,cikda,lk-t,cikda,0.0,1.0,,,1.0,cilk,ta,cikda,578085,nonce,train,cilda,no,1.0,0.0,,0.0,1.0,cvkda,yes
1227,cip-v,cipv,p-v,cipv,,,,,0.0,cip,v,cipv,578085,high,train,cipv,yes,,,,,0.0,cvkv,yes
1228,cip-ta,cipda,p-t,cipda,,,,,1.0,cip,ta,cipda,578085,high,train,cipda,yes,,,,,1.0,cvpv,yes
1229,cip-na,cimna,p-n,cimna,,,1.0,,,cip,na,cimna,578085,high,train,cimna,yes,,,1.0,,,cvpna,no
1230,Jalp-ta,Jalpda,lp-t,Jalpda,0.0,0.0,,,1.0,Jalp,ta,Jalpda,578085,high,train,Jalpda,yes,0.0,0.0,,0.0,1.0,cvpda,yes
1231,Jalp-na,Jamna,lp-n,Jamna,0.0,1.0,1.0,0.0,,Jalp,na,Jamna,578085,high,train,Jalmna,no,1.0,0.0,1.0,0.0,,cikda,yes
1232,Jalp-a,Jalpa,lp-a,Jalpa,0.0,0.0,,,0.0,Jalp,a,Jalpa,578085,high,train,Jalpa,yes,0.0,0.0,,0.0,0.0,cikv,yes
1233,Jik-ta,Jikda,k-t,Jikda,,,,,1.0,Jik,ta,Jikda,578085,low,train,Jikda,yes,,,,,1.0,cikna,no
1234,Jik-v,Jikv,k-v,Jikv,,,,,0.0,Jik,v,Jikv,578085,low,train,Jikv,yes,,,,,0.0,cilkna,no
1235,Jik-na,JiNna,k-n,JiNna,,,1.0,,,Jik,na,JiNna,578085,low,train,JiNna,yes,,,1.0,,,cilkv,yes
1236,Cak-a,Caka,k-a,Caka,,,,,0.0,Cak,a,Caka,578085,nonce,train,Caka,yes,,,,,0.0,cilda,yes
1237,Cak-ta,Cakda,k-t,Cakda,,,,,1.0,Cak,ta,Cakda,578085,nonce,train,Cakda,yes,,,,,1.0,cipna,no
1238,Cak-na,CaNna,k-n,CaNna,,,1.0,,,Cak,na,CaNna,578085,nonce,train,CaNna,yes,,,1.0,,,cipv,yes
1239,Top-a,Topa,p-a,Topa,,,,,0.0,Top,a,Topa,578085,nonce,train,Topa,yes,,,,,0.0,cipda,yes
1240,Top-na,Tomna,p-n,Tomna,,,1.0,,,Top,na,Tomna,578085,nonce,train,Tomna,yes,,,1.0,,,Jalda,no
1241,Top-ta,Topda,p-t,Topda,,,,,1.0,Top,ta,Topda,578085,nonce,train,Topda,yes,,,,,1.0,Jalpa,yes
1242,halT-a,halTa,lT-a,halTa,0.0,0.0,,,0.0,halT,a,halTa,578085,low,train,halTa,yes,0.0,0.0,,0.0,0.0,Jalpna,no
1243,halT-ta,halda,lT-t,halda,1.0,0.0,,,1.0,halT,ta,halda,578085,low,train,halda,yes,1.0,0.0,,0.0,1.0,Jikna,no
1244,halT-na,halna,lT-n,halna,1.0,0.0,0.0,0.0,,halT,na,halna,578085,low,train,halna,yes,1.0,0.0,0.0,0.0,,Jikda,yes
1245,hulT-na,hulna,lT-n,hulna,1.0,0.0,0.0,0.0,,hulT,na,hulna,578085,low,train,hulna,yes,1.0,0.0,0.0,0.0,,Jikv,yes
1246,hulT-v,hulTv,lT-v,hulTv,0.0,0.0,,,0.0,hulT,v,hulTv,578085,low,train,hulTv,yes,0.0,0.0,,0.0,0.0,Caka,yes
2311,kalk-a,kalka,lk-a,kalka,0.0,0.0,,,0.0,kalk,a,kalka,578698,low,dev,kalka,yes,0.0,0.0,,0.0,0.0,Cakda,yes
2312,kalk-na,kalkna,lk-n,kalkna,0.0,0.0,0.0,0.0,,kalk,na,kalkna,578698,low,dev,kalkna,yes,0.0,0.0,0.0,0.0,,Cakna,no
2313,kalk-ta,kalkda,lk-t,kalkda,0.0,0.0,,,1.0,kalk,ta,kalkda,578698,low,dev,kalda,no,1.0,0.0,,0.0,1.0,topa,no
2314,kvP-v,kvPv,P-v,kvPv,,,,,0.0,kvP,v,kvPv,578698,nonce,dev,kvPv,yes,,,,,0.0,topda,no
2315,kvP-na,kvmna,P-n,kvmna,,,1.0,,,kvP,na,kvmna,578698,nonce,dev,kvmna,yes,,,1.0,,,topna,no
2316,kvP-ta,kvpda,P-t,kvpda,,,,,1.0,kvP,ta,kvpda,578698,nonce,dev,kvpda,yes,,,,,1.0,halga,no
2317,kjvlp-ta,kyvlpda,lp-t,kyvlpda,0.0,0.0,,,1.0,kjvlp,ta,kyvlpda,578698,nonce,dev,kyvlpda,yes,1.0,0.0,,0.0,1.0,halda,yes
2318,kjvlp-na,kyvlna,lp-n,kyvlna,1.0,0.0,0.0,0.0,,kjvlp,na,kyvlna,578698,nonce,dev,kyvlmna,no,1.0,0.0,1.0,0.0,,halpna,no
2319,kjvlp-v,kyvlpv,lp-v,kyvlpv,0.0,0.0,,,0.0,kjvlp,v,kyvlpv,578698,nonce,dev,kyvlpv,yes,1.0,0.0,,0.0,0.0,hulpna,no
2320,kulk-na,kuNna,lk-n,kuNna,0.0,1.0,1.0,0.0,,kulk,na,kuNna,578698,high,dev,kuNna,yes,1.0,1.0,1.0,0.0,,hulkv,no
2321,kulk-v,kulkv,lk-v,kulkv,0.0,0.0,,,0.0,kulk,v,kulkv,578698,high,dev,kulkv,yes,0.0,0.0,,0.0,0.0,hulda,yes
2322,kulk-ta,kulkda,lk-t,kulkda,0.0,0.0,,,1.0,kulk,ta,kulkda,578698,high,dev,kulda,no,1.0,0.0,,0.0,1.0,kalda,no
2323,kxlk-ta,kxlkda,lk-t,kxlkda,0.0,0.0,,,1.0,kxlk,ta,kxlkda,578698,low,dev,kxlkda,yes,0.0,0.0,,0.0,1.0,kalna,no
2324,kxlk-v,kxlkv,lk-v,kxlkv,0.0,0.0,,,0.0,kxlk,v,kxlkv,578698,low,dev,kxlkv,yes,0.0,0.0,,0.0,0.0,kalga,no
2325,kxlk-na,kxNna,lk-n,kxNna,0.0,1.0,1.0,0.0,,kxlk,na,kxNna,578698,low,dev,kxNna,yes,1.0,1.0,1.0,0.0,,kvpda,yes
2326,kxlP-na,kxlna,lP-n,kxlna,1.0,0.0,0.0,0.0,,kxlP,na,kxlna,578698,nonce,dev,kxlmna,no,1.0,0.0,1.0,0.0,,kvpdv,no
2327,kxlP-ta,kxlPda,lP-t,kxlPda,0.0,0.0,,,1.0,kxlP,ta,kxlPda,578698,nonce,dev,kxlPda,yes,0.0,0.0,,0.0,1.0,kvpna,no
2328,kxlP-v,kxlPv,lP-v,kxlPv,0.0,0.0,,,0.0,kxlP,v,kxlPv,578698,nonce,dev,kxlPv,yes,0.0,0.0,,0.0,0.0,kvlpna,no
2329,nalk-a,nalka,lk-a,nalka,0.0,0.0,,,0.0,nalk,a,nalka,578698,high,dev,nalka,yes,0.0,0.0,,0.0,0.0,kilvpv,no
2330,nalk-ta,nalkta,lk-t,nalkta,0.0,0.0,,,0.0,nalk,ta,nalkta,578698,high,dev,nalkda,no,0.0,0.0,,0.0,1.0,kilvpda,no
2331,nalk-na,nalkna,lk-n,nalkna,0.0,0.0,0.0,0.0,,nalk,na,nalkna,578698,high,dev,naNna,no,1.0,1.0,1.0,0.0,,kulna,no
2332,nalp-a,nalpa,lp-a,nalpa,0.0,0.0,,,0.0,nalp,a,nalpa,578698,nonce,dev,nalpa,yes,0.0,0.0,,0.0,0.0,kulda,no
2333,nalp-na,nalmna,lp-n,nalmna,0.0,0.0,1.0,0.0,,nalp,na,nalmna,578698,nonce,dev,nalmna,yes,1.0,0.0,1.0,0.0,,kulkv,yes
2334,nalp-ta,nalpda,lp-t,nalpda,0.0,0.0,,,1.0,nalp,ta,nalpda,578698,nonce,dev,nalpda,yes,0.0,0.0,,0.0,1.0,kxlda,no
2335,neT-v,neTv,T-v,neTv,,,,,0.0,neT,v,neTv,578698,nonce,dev,neTv,yes,,,,,0.0,kxlkv,yes
2336,neT-na,nenna,T-n,nenna,,,1.0,,,neT,na,nenna,578698,nonce,dev,nenna,yes,,,1.0,,,kxNna,no
2337,neT-ta,netda,T-t,netda,,,,,1.0,neT,ta,netda,578698,nonce,dev,netda,yes,,,,,1.0,kxlda,no
2338,nvlp-na,nvlpna,lp-n,nvlpna,0.0,0.0,0.0,0.0,,nvlp,na,nvlpna,578698,high,dev,,no,1.0,1.0,0.0,0.0,,kxlpv,no
2339,nvlp-v,nvlpv,lp-v,nvlpv,0.0,0.0,,,0.0,nvlp,v,nvlpv,578698,high,dev,nvlpv,yes,0.0,0.0,,0.0,0.0,kxlpna,no
2340,nvlp-ta,nvlpda,lp-t,nvlpda,0.0,0.0,,,1.0,nvlp,ta,nvlpda,578698,high,dev,nvlda,no,1.0,0.0,,0.0,1.0,nalnka,no
2341,nuk-na,nuNna,k-n,nuNna,,,1.0,,,nuk,na,nuNna,578698,nonce,dev,nuNna,yes,,,1.0,,,nalga,no
2342,nuk-ta,nukda,k-t,nukda,,,,,1.0,nuk,ta,nukda,578698,nonce,dev,nukda,yes,,,,,1.0,nalda,no
2343,nuk-v,nukv,k-v,nukv,,,,,0.0,nuk,v,nukv,578698,nonce,dev,nukv,yes,,,,,0.0,nalda,no
2344,nxlk-ta,nxlkda,lk-t,nxlkda,0.0,0.0,,,1.0,nxlk,ta,nxlkda,578698,high,dev,,no,1.0,1.0,,0.0,0.0,nalpa,yes
2345,nxlk-na,nxlkna,lk-n,nxlkna,0.0,0.0,0.0,0.0,,nxlk,na,nxlkna,578698,high,dev,nxNna,no,1.0,1.0,1.0,0.0,,nalpna,yes
2346,nxlk-v,nxlkv,lk-v,nxlkv,0.0,0.0,,,0.0,nxlk,v,nxlkv,578698,high,dev,nxlkv,yes,0.0,0.0,,0.0,0.0,netda,no
2347,tvlp-na,tvlpna,lp-n,tvlpna,0.0,0.0,0.0,0.0,,tvlp,na,tvlpna,578698,nonce,dev,tvlmna,no,1.0,0.0,1.0,0.0,,netda,no
2348,tvlp-ta,tvlda,lp-t,tvlda,1.0,0.0,,,1.0,tvlp,ta,tvlda,578698,nonce,dev,tvlpda,no,0.0,0.0,,0.0,1.0,netgv,no
2349,tvlp-v,tvlpv,lp-v,tvlpv,0.0,0.0,,,0.0,tvlp,v,tvlpv,578698,nonce,dev,tvlpv,yes,0.0,0.0,,0.0,0.0,nvlpv,yes
2350,tok-na,toNna,k-n,toNna,,,1.0,,,tok,na,toNna,578698,nonce,dev,toNna,yes,,,1.0,,,nvlpna,yes
2351,tok-ta,tokda,k-t,tokda,,,,,1.0,tok,ta,tokda,578698,nonce,dev,tokda,yes,,,,,1.0,nvlda,no
2352,tok-a,toka,k-a,toka,,,,,0.0,tok,a,toka,578698,nonce,dev,toka,yes,,,,,0.0,nukda,no
2353,tup-ta,tupda,p-t,tupda,,,,,1.0,tup,ta,tupda,578698,nonce,dev,tupda,yes,,,,,1.0,nukna,yes
2354,tup-na,tupna,p-n,tupna,,,0.0,,,tup,na,tupna,578698,nonce,dev,tumna,no,,,1.0,,,nukv,yes
2355,tup-v,tupv,p-v,tupv,,,,,0.0,tup,v,tupv,578698,nonce,dev,tupv,yes,,,,,0.0,nxlkv,yes
2356,txlk-na,txlkna,lk-n,txlkna,0.0,0.0,0.0,0.0,,txlk,na,txlkna,578698,nonce,dev,txNna,no,1.0,1.0,1.0,0.0,,nxNna,no
2357,txlk-v,txlkv,lk-v,txlkv,0.0,0.0,,,0.0,txlk,v,txlkv,578698,nonce,dev,txlkv,yes,0.0,0.0,,0.0,0.0,nxlda,no
2358,txlk-ta,txlkda,lk-t,txlkda,0.0,0.0,,,1.0,txlk,ta,txlkda,578698,nonce,dev,txkda,no,1.0,1.0,,0.0,1.0,tvlpna,yes
2359,dvlp-na,dvlpna,lp-n,dvlpna,0.0,0.0,0.0,0.0,,dvlp,na,dvlpna,578698,low,dev,dvlpna,yes,0.0,0.0,0.0,0.0,,tvlda,no
2360,dvlp-v,dvlpv,lp-v,dvlpv,0.0,0.0,,,0.0,dvlp,v,dvlpv,578698,low,dev,dvlpv,yes,0.0,0.0,,0.0,1.0,tvlpv,yes
2361,dvlp-ta,dvlpda,lp-t,dvlpda,0.0,0.0,,,1.0,dvlp,ta,dvlpda,578698,low,dev,dvlpda,yes,0.0,0.0,,0.0,1.0,tokga,no
2362,mak-a,maka,k-a,maka,,,,,0.0,mak,a,maka,578698,high,dev,maka,yes,,,,,0.0,tokda,no
2363,mak-na,maNna,k-n,maNna,,,1.0,,,mak,na,maNna,578698,high,dev,maNna,yes,,,1.0,,,toNna,yes
2364,mak-ta,makda,k-t,makda,,,,,1.0,mak,ta,makda,578698,high,dev,makda,yes,,,,,1.0,tupna,yes
2365,malk-na,malna,lk-n,malna,1.0,0.0,0.0,0.0,,malk,na,malna,578698,high,dev,malna,yes,1.0,0.0,0.0,0.0,,tupda,no
2366,malk-a,malka,lk-a,malka,0.0,0.0,,,0.0,malk,a,malka,578698,high,dev,malka,yes,0.0,0.0,,0.0,0.0,tupv,yes
2367,malk-ta,malda,lk-t,malda,1.0,0.0,,,1.0,malk,ta,malda,578698,high,dev,malkda,no,0.0,0.0,,0.0,1.0,txlkv,yes
2368,mvlk-v,mvlkv,lk-v,mvlkv,0.0,0.0,,,0.0,mvlk,v,mvlkv,578698,nonce,dev,mvlkv,yes,0.0,0.0,,0.0,0.0,txNna,no
2369,mvlk-ta,mvlda,lk-t,mvlda,1.0,0.0,,,1.0,mvlk,ta,mvlda,578698,nonce,dev,mvlda,yes,1.0,0.0,,0.0,1.0,txlkda,no
2370,mvlk-na,mvlkna,lk-n,mvlkna,0.0,0.0,0.0,0.0,,mvlk,na,mvlkna,578698,nonce,dev,mvNna,no,1.0,1.0,1.0,0.0,,dvlpna,yes
2371,muk-na,muNna,k-n,muNna,,,1.0,,,muk,na,muNna,578698,low,dev,muNna,yes,,,1.0,,,dvlpv,yes
2372,muk-v,mukv,k-v,mukv,,,,,0.0,muk,v,mukv,578698,low,dev,mukv,yes,,,,,0.0,dvlda,no
2373,muk-ta,mukda,k-t,mukda,,,,,1.0,muk,ta,mukda,578698,low,dev,mukda,yes,,,,,1.0,maka,yes
2374,mulk-ta,mulkda,lk-t,mulkda,0.0,0.0,,,1.0,mulk,ta,mulkda,578698,low,dev,mulda,no,1.0,0.0,,0.0,1.0,maNna,yes
2375,mulk-na,mulna,lk-n,mulna,1.0,0.0,0.0,0.0,,mulk,na,mulna,578698,low,dev,muNna,no,1.0,1.0,1.0,0.0,,makda,no
2376,mulk-v,mulkv,lk-v,mulkv,0.0,0.0,,,0.0,mulk,v,mulkv,578698,low,dev,mulkv,yes,0.0,0.0,,0.0,0.0,malnka,no
2377,pak-a,paka,k-a,paka,,,,,0.0,pak,a,paka,578698,high,dev,paka,yes,,,,,0.0,malkda,no
2378,pak-ta,pakda,k-t,pakda,,,,,1.0,pak,ta,pakda,578698,high,dev,pakda,yes,,,,,1.0,malga,no
2379,pak-na,paNna,k-n,paNna,,,1.0,,,pak,na,paNna,578698,high,dev,paNna,yes,,,1.0,,,mvlkv,yes
2380,palk-a,palka,lk-a,palka,0.0,0.0,,,0.0,palk,a,palka,578698,high,dev,palka,yes,0.0,0.0,,0.0,0.0,mvkna,no
2381,palk-ta,palda,lk-t,palda,1.0,0.0,,,1.0,palk,ta,palda,578698,high,dev,palda,yes,1.0,0.0,,0.0,1.0,mvlkda,no
2382,palk-na,palna,lk-n,palna,1.0,0.0,0.0,0.0,,palk,na,palna,578698,high,dev,paNna,no,1.0,1.0,1.0,0.0,,mukda,no
2383,palp-na,palpna,lp-n,palpna,0.0,0.0,0.0,0.0,,palp,na,palpna,578698,high,dev,palmna,no,1.0,0.0,1.0,0.0,,mukv,yes
2384,palp-ta,palpda,lp-t,palpda,0.0,0.0,,,1.0,palp,ta,palpda,578698,high,dev,palpda,yes,0.0,0.0,,0.0,1.0,mukna,no
2385,palp-a,palpa,lp-a,palpa,0.0,0.0,,,0.0,palp,a,palpa,578698,high,dev,palpa,yes,0.0,0.0,,0.0,0.0,mulkda,no
2386,peT-v,peTv,T-v,peTv,,,,,0.0,peT,v,peTv,578698,low,dev,peTv,yes,,,,,0.0,mulkv,yes
2387,peT-ta,petda,T-t,petda,,,,,1.0,peT,ta,petda,578698,low,dev,petda,yes,,,,,1.0,mukna,no
2388,peT-na,penna,T-n,penna,,,1.0,,,peT,na,penna,578698,low,dev,penna,yes,,,1.0,,,pakda,no
2389,kvp-v,pvpv,p-v,pvpv,,,,,0.0,kvp,v,pvpv,578698,nonce,dev,pvpv,yes,,,,,0.0,panka,no
2390,kvp-na,pvpna,p-n,pvpna,,,0.0,,,kvp,na,pvpna,578698,nonce,dev,pvmna,no,,,1.0,,,paka,yes
2391,kvp-ta,pvpda,p-t,pvpda,,,,,1.0,kvp,ta,pvpda,578698,nonce,dev,pvpda,yes,,,,,1.0,palda,no
2392,pulk-ta,pulkda,lk-t,pulkda,0.0,0.0,,,1.0,pulk,ta,pulkda,578698,high,dev,pulda,no,1.0,0.0,,0.0,1.0,palkna,yes
2393,pulk-na,pulna,lk-n,pulna,1.0,0.0,0.0,0.0,,pulk,na,pulna,578698,high,dev,pukna,no,1.0,1.0,0.0,0.0,,palka,yes
2394,pulk-v,pulkv,lk-v,pulkv,0.0,0.0,,,0.0,pulk,v,pulkv,578698,high,dev,pulkv,yes,0.0,0.0,,0.0,0.0,palpna,yes
2395,pulT-v,pulTv,lT-v,pulTv,0.0,0.0,,,0.0,pulT,v,pulTv,578698,nonce,dev,pulTv,yes,0.0,0.0,,0.0,0.0,palda,no
2396,pulT-na,pulTna,lT-n,pulTna,0.0,0.0,0.0,0.0,,pulT,na,pulTna,578698,nonce,dev,pulna,no,1.0,0.0,0.0,0.0,,palpa,yes
2397,pulT-ta,pulda,lT-t,pulda,1.0,0.0,,,1.0,pulT,ta,pulda,578698,nonce,dev,pulda,yes,1.0,0.0,,0.0,1.0,petdv,no
2398,bop-ta,bopda,p-t,bopda,,,,,1.0,bop,ta,bopda,578698,high,dev,bopda,yes,,,,,1.0,petda,no
2399,bop-a,bopa,p-a,bopa,,,,,0.0,bop,a,bopa,578698,high,dev,bopa,yes,,,,,1.0,petna,no
2400,bop-na,bopna,p-n,bopna,,,0.0,,,bop,na,bopna,578698,high,dev,bomna,no,,,1.0,,,kvpv,no
2401,sok-na,soNna,k-n,soNna,,,1.0,,,sok,na,soNna,578698,low,dev,soNna,yes,,,1.0,,,kvpna,no
2402,sok-a,soka,k-a,soka,,,,,0.0,sok,a,soka,578698,low,dev,soka,yes,,,,,0.0,kvpda,no
2403,sok-ta,sokda,k-t,sokda,,,,,1.0,sok,ta,sokda,578698,low,dev,sokda,yes,,,,,1.0,pulkna,yes
2404,sulk-v,sulkv,lk-v,sulkv,0.0,0.0,,,0.0,sulk,v,sulkv,578698,nonce,dev,sulkv,yes,0.0,0.0,,0.0,0.0,pulda,no
2405,sulk-ta,sulda,lk-t,sulda,1.0,0.0,,,1.0,sulk,ta,sulda,578698,nonce,dev,sulkda,no,0.0,0.0,,0.0,1.0,pulkv,yes
2406,sulk-na,suNna,lk-n,suNna,0.0,1.0,1.0,0.0,,sulk,na,suNna,578698,nonce,dev,suNna,yes,1.0,1.0,1.0,0.0,,pulda,no
2407,sik-na,siNna,k-n,siNna,,,1.0,,,sik,na,siNna,578698,low,dev,siNna,yes,,,1.0,,,pulkv,no
2408,sik-ta,sikda,k-t,sikda,,,,,1.0,sik,ta,sikda,578698,low,dev,sikda,yes,,,,,1.0,pulkna,no
2409,sik-v,sikv,k-v,sikv,,,,,0.0,sik,v,sikv,578698,low,dev,sikv,yes,,,,,0.0,popapa,no
2410,Svk-na,SvNna,k-n,SvNna,,,1.0,,,Svk,na,SvNna,578698,high,dev,SvNna,yes,,,1.0,,,popna,no
2411,Svk-ta,Svkda,k-t,Svkda,,,,,1.0,Svk,ta,Svkda,578698,high,dev,Svkda,yes,,,,,1.0,popda,no
2412,Svk-v,Svkv,k-v,Svkv,,,,,0.0,Svk,v,Svkv,578698,high,dev,Svkv,yes,,,,,0.0,sokda,no
2413,Sip-na,Simna,p-n,Simna,,,1.0,,,Sip,na,Simna,578698,high,dev,Simna,yes,,,1.0,,,sokga,no
2414,Sip-v,Sipv,p-v,Sipv,,,,,0.0,Sip,v,Sipv,578698,high,dev,Sipv,yes,,,,,0.0,*soNa,no
2415,Sip-ta,Sipda,p-t,Sipda,,,,,1.0,Sip,ta,Sipda,578698,high,dev,Sipda,yes,,,,,1.0,*sumna,no
2416,alk-ta,alkda,lk-t,alkda,0.0,0.0,,,1.0,alk,ta,alkda,578698,nonce,dev,alkda,yes,,0.0,,0.0,1.0,sulkda,no
2417,alk-na,alkna,lk-n,alkna,0.0,0.0,0.0,0.0,,alk,na,alkna,578698,nonce,dev,alkna,yes,,0.0,0.0,0.0,,sulkv,yes
2418,alk-a,alka,lk-a,alka,0.0,0.0,,,0.0,alk,a,alka,578698,nonce,dev,alka,yes,,0.0,,0.0,0.0,sikda,yes
2419,yalp-na,yalmna,lp-n,yalmna,0.0,0.0,1.0,0.0,,yalp,na,yalmna,578698,low,dev,yalmna,yes,1.0,0.0,1.0,0.0,,sikna,no
2420,yalp-a,yalpa,lp-a,yalpa,0.0,0.0,,,0.0,yalp,a,yalpa,578698,low,dev,yalpa,yes,0.0,0.0,,0.0,0.0,sikv,yes
2421,yalp-ta,yalda,lp-t,yalda,1.0,0.0,,,1.0,yalp,ta,yalda,578698,low,dev,yalpda,no,0.0,0.0,,0.0,1.0,*svkga,no
2422,yaT-ta,yatda,T-t,yatda,,,,,1.0,yaT,ta,yatda,578698,low,dev,yatda,yes,,,,,1.0,svkda,no
2423,yaT-na,yanna,T-n,yanna,,,1.0,,,yaT,na,yanna,578698,low,dev,yanna,yes,,,1.0,,,svkgv,no
2424,yaT-a,yaTa,T-a,yaTa,,,,,0.0,yaT,a,yaTa,578698,low,dev,yaTa,yes,,,,,0.0,sipda,no
2425,vlk-ta,vlkda,lk-t,vlkda,0.0,0.0,,,1.0,vlk,ta,vlkda,578698,low,dev,vlkda,yes,,0.0,,0.0,1.0,sipv,no
2426,vlk-na,vlkna,lk-n,vlkna,0.0,0.0,0.0,0.0,,vlk,na,vlkna,578698,low,dev,vNna,no,,1.0,1.0,0.0,,*sipna,no
2427,vlk-v,vlkv,lk-v,vlkv,0.0,0.0,,,0.0,vlk,v,vlkv,578698,low,dev,vlkv,yes,,0.0,,0.0,0.0,alda,no
2428,vp-ta,vpda,p-t,vpda,,,,,1.0,vp,ta,vpda,578698,low,dev,vpda,yes,,,,,1.0,alna,no
2429,vp-na,vpna,p-n,vpna,,,0.0,,,vp,na,vpna,578698,low,dev,vmna,no,,,1.0,,,alga,no
2430,vp-v,vpv,p-v,vpv,,,,,0.0,vp,v,vpv,578698,low,dev,vpv,yes,,,,,0.0,yalpna,yes
2431,vP-na,vpna,P-n,vpna,,,0.0,,,vP,na,vpna,578698,low,dev,vmna,no,,,1.0,,,yalpa,yes
2432,vP-ta,vpda,P-t,vpda,,,,,1.0,vP,ta,vpda,578698,low,dev,vpda,yes,,,,,1.0,yalda,no
2433,vP-v,vPv,P-v,vPv,,,,,0.0,vP,v,vPv,578698,low,dev,vPv,yes,,,,,0.0,yatda,no
2434,yvlp-ta,jvlda,lp-t,jvlda,1.0,0.0,,,1.0,yvlp,ta,jvlda,578698,low,dev,jvlpda,no,1.0,0.0,,0.0,1.0,yatda,yes
2435,yvlp-v,jvlpv,lp-v,jvlpv,0.0,0.0,,,0.0,yvlp,v,jvlpv,578698,low,dev,jvlpv,yes,1.0,0.0,,0.0,0.0,yaNna,no
2436,yvlp-na,jvlmna,lp-n,jvlmna,0.0,0.0,1.0,0.0,,yvlp,na,jvlmna,578698,low,dev,jvlpna,no,1.0,0.0,0.0,0.0,,vlkv,yes
2437,yvT-ta,jvtda,T-t,jvtda,,,,,1.0,yvT,ta,jvtda,578698,low,dev,jvtda,yes,,,,,1.0,vlda,no
2438,yvT-na,jvTna,T-n,jvTna,,,0.0,,,yvT,na,jvTna,578698,low,dev,jvnna,no,,,1.0,,,vlkna,yes
2439,yvT-v,jvTv,T-v,jvTv,,,,,0.0,yvT,v,jvTv,578698,low,dev,jvTv,yes,,,,,0.0,vpda,yes
2440,up-v,upv,p-v,upv,,,,,0.0,up,v,upv,578698,nonce,dev,upv,yes,,,,,0.0,vpv,yes
2441,up-na,upna,p-n,upna,,,0.0,,,up,na,upna,578698,nonce,dev,umna,no,,,1.0,,,vpan,no
2442,up-ta,upda,p-t,upda,,,,,1.0,up,ta,upda,578698,nonce,dev,upda,yes,,,,,1.0,vpv,no
2443,xlP-na,xlPna,lP-n,xlPna,0.0,0.0,0.0,0.0,,xlP,na,xlPna,578698,low,dev,xPna,no,,1.0,0.0,0.0,,vpda,no
2444,xlP-v,xlPv,lP-v,xlPv,0.0,0.0,,,0.0,xlP,v,xlPv,578698,low,dev,xlPv,yes,,0.0,,0.0,0.0,vpna,yes
2445,xlP-ta,xlda,lP-t,xlda,1.0,0.0,,,1.0,xlP,ta,xlda,578698,low,dev,xlPda,no,,0.0,,0.0,1.0,yvlpna,no
2446,ik-na,iNna,k-n,iNna,,,1.0,,,ik,na,iNna,578698,low,dev,iNna,yes,,,1.0,,,yvlda,no
2447,ik-v,ikv,k-v,ikv,,,,,0.0,ik,v,ikv,578698,low,dev,ikv,yes,,,,,0.0,yvlpv,no
2448,ik-ta,ikda,k-t,ikda,,,,,1.0,ik,ta,ikda,578698,low,dev,ikda,yes,,,,,1.0,yvtda,no
2449,ilk-ta,ilkda,lk-t,ilkda,0.0,0.0,,,1.0,ilk,ta,ilkda,578698,high,dev,ikda,no,,1.0,,0.0,1.0,yvtdv,no
2450,ilk-na,ikna,lk-n,ikna,0.0,1.0,0.0,0.0,,ilk,na,ikna,578698,high,dev,iNna,no,,1.0,1.0,0.0,,yvtda,no
2451,ilk-v,ilkv,lk-v,ilkv,0.0,0.0,,,0.0,ilk,v,ilkv,578698,high,dev,ilkv,yes,,0.0,,0.0,0.0,upna,no
2452,ip-na,imna,p-n,imna,,,1.0,,,ip,na,imna,578698,high,dev,imna,yes,,,1.0,,,upda,no
2453,ip-v,ipv,p-v,ipv,,,,,0.0,ip,v,ipv,578698,high,dev,ipv,yes,,,,,0.0,upv,yes
2454,ip-ta,ipta,p-t,ipta,,,,,0.0,ip,ta,ipta,578698,high,dev,ipda,no,,,,,1.0,xlpv,no
2455,cak-a,caka,k-a,caka,,,,,0.0,cak,a,caka,578698,high,dev,caka,yes,,,,,0.0,xlda,no
2456,cak-na,caNna,k-n,caNna,,,1.0,,,cak,na,caNna,578698,high,dev,caNna,yes,,,1.0,,,xNna,no
2457,cak-ta,cakda,k-t,cakda,,,,,1.0,cak,ta,cakda,578698,high,dev,cakda,yes,,,,,1.0,ikv,yes
2458,cvk-v,cvkv,k-v,cvkv,,,,,0.0,cvk,v,cvkv,578698,high,dev,cvkv,yes,,,,,0.0,ikda,no
2459,cvk-na,cvkna,k-n,cvkna,,,0.0,,,cvk,na,cvkna,578698,high,dev,cvNna,no,,,1.0,,,ikna,no
2460,cvk-ta,cvkda,k-t,cvkda,,,,,1.0,cvk,ta,cvkda,578698,high,dev,cvkda,yes,,,,,1.0,ilna,no
2461,cvp-v,cvpv,p-v,cvpv,,,,,0.0,cvp,v,cvpv,578698,high,dev,cvpv,yes,,,,,0.0,ilda,no
